Disease,Question,medical_specialty,severity
Bệnh Chàm,Tôi bị ngứa dữ dội trước khi phát ban. Tôi có thể đang bị bệnh gì?,Dermatology,
Bệnh Chàm,Da của tôi bị chảy nước và đóng vảy ở mặt và da đầu. Tôi có thể đang bị bệnh gì?,Dermatology,
Bệnh Chàm,Tôi bị phát ban ở khuỷu tay và sau đầu gối. Tôi có thể đang bị bệnh gì?,Dermatology,
Bệnh Chàm,"Da của tôi khô, dày và có vảy. Tôi có thể đang bị bệnh gì?",Dermatology,
Bệnh Chàm,"Tôi bị phát ban ở mặt, cổ tay và bàn tay. Tôi có thể đang bị bệnh gì?",Dermatology,
Bệnh Chàm,Da của tôi chuyển sang màu nâu ở vùng bị ảnh hưởng. Tôi có thể đang bị bệnh gì?,Dermatology,
Bệnh Chàm,Da của tôi bị sưng và viêm. Tôi có thể đang bị bệnh gì?,Dermatology,
Bệnh Chàm,Tôi bị nổi mụn nước nhỏ trên da. Tôi có thể đang bị bệnh gì?,Dermatology,
Bệnh Chàm,Tôi bị chảy dịch vàng từ vùng da bị ảnh hưởng. Tôi có thể đang bị bệnh gì?,Dermatology,
Bệnh Chàm,Tôi bị đau khi chạm vào vùng da bị ảnh hưởng. Tôi có thể đang bị bệnh gì?,Dermatology,
Bệnh Chàm,Tôi khó ngủ vì ngứa. Tôi có thể đang bị bệnh gì?,Dermatology,
Bệnh Chàm,Tôi cảm thấy tự ti về làn da của mình. Tôi có thể đang bị bệnh gì?,Dermatology,
Bệnh Chàm,Tôi bị stress vì bệnh chàm. Tôi có thể đang bị bệnh gì?,Dermatology,
Bệnh Chàm,Các triệu chứng của tôi nặng hơn vào mùa đông. Tôi có thể đang bị bệnh gì?,Dermatology,
Bệnh Chàm,Các triệu chứng của tôi nặng hơn khi tôi tiếp xúc với chất kích thích. Tôi có thể đang bị bệnh gì?,Dermatology,
Bệnh Chàm,Các triệu chứng của tôi nặng hơn khi tôi bị stress. Tôi có thể đang bị bệnh gì?,Dermatology,
Bệnh Crohn,"Tôi hiện đang có các triệu chứng như đau quặn bụng, tiêu chảy ra máu và sút cân. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Crohn,"Tôi đang cảm thấy mệt mỏi, sốt cao và đau vùng hậu môn. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Crohn,"Tôi hay bị đầy bụng, mót rặn và tiêu chảy. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Crohn,Tôi đang bị viêm khớp dạng thấp và tiêu chảy. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Crohn,Tôi hay bị đau quặn bụng và có dấu hiệu viêm mống mắt. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Crohn,"Tôi đang cảm thấy suy nhược cơ thể, gầy sút và bị loãng xương. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Crohn,Tôi có kết quả xét nghiệm máu cho thấy tốc độ máu lắng tăng. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Crohn,Tôi hay bị tiêu chảy và phân có lẫn máu. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Crohn,Tôi đang bị rối loạn điện giải và giảm albumin máu. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Crohn,Tôi cảm thấy đau bụng và kết quả xét nghiệm cho thấy protein phản ứng (CRP) tăng. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Crohn,Tôi hay bị sốt cao và có khả năng bị viêm ruột có áp xe. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Crohn,Tôi đang bị viêm cột sống dính khớp và tiêu chảy. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Crohn,"Tôi bị sút cân, đau bụng và phân có lẫn bạch cầu. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Crohn,"Tôi cảm thấy mệt mỏi, sốt và có triệu chứng của rối loạn nội tiết. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Crohn,Tôi bị giảm hấp thu và tiêu chảy ra máu. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Crohn,Tôi hay bị đau quặn bụng và các triệu chứng xuất hiện theo từng đợt. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Crohn,Tôi đang bị giảm sắt và B12 huyết thanh. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Crohn,Tôi hay bị tiêu chảy và đau vùng hậu môn. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Crohn,"Tôi cảm thấy mệt mỏi, sốt và đau bụng. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Crohn,"Tôi bị đầy bụng, mót rặn và có kết quả xét nghiệm máu bất thường. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Cúm,"Tôi hiện đang có các triệu chứng như sốt cao, ớn lạnh và ho khan. Tôi có thể đang bị bệnh gì?",Respiratory,
Bệnh Cúm,"Tôi đang cảm thấy mệt mỏi, đau đầu và viêm họng. Tôi có thể đang bị bệnh gì?",Respiratory,
Bệnh Cúm,"Tôi hay bị sổ mũi, hắt hơi và đau họng, nhưng triệu chứng xuất hiện đột ngột và sốt cao. Tôi có thể đang bị bệnh gì?",Respiratory,
Bệnh Cúm,"Tôi đang bị sốt cao, đổ mồ hôi và khó thở. Tôi có thể đang bị bệnh gì?",Respiratory,
Bệnh Cúm,Tôi hay nôn mửa và tiêu chảy kèm theo sốt và ho. Tôi có thể đang bị bệnh gì?,Respiratory,
Bệnh Cúm,"Tôi hiện đang có các triệu chứng như nghẹt mũi, chảy nước mũi và đau đầu. Tôi có thể đang bị bệnh gì?",Respiratory,
Bệnh Cúm,"Tôi đang cảm thấy mệt mỏi kéo dài, ho khan và sốt nhẹ. Tôi có thể đang bị bệnh gì?",Respiratory,
Bệnh Cúm,"Tôi hay bị ớn lạnh, viêm họng và sốt cao đột ngột. Tôi có thể đang bị bệnh gì?",Respiratory,
Bệnh Cúm,"Tôi hiện đang có các triệu chứng như đau đầu, mệt mỏi và ho khan. Tôi có thể đang bị bệnh gì?",Respiratory,
Bệnh Cúm,"Tôi đang cảm thấy khó thở, tức ngực và sốt cao. Tôi có thể đang bị bệnh gì?",Respiratory,
Bệnh Cúm,"Tôi hay bị sốt cao kéo dài hơn 3 ngày, kèm theo ho và mệt mỏi. Tôi có thể đang bị bệnh gì?",Respiratory,
Bệnh Cúm,"Tôi hiện đang có các triệu chứng như mất ý thức, co giật và sốt cao. Tôi có thể đang bị bệnh gì?",Respiratory,
Bệnh Cúm,"Tôi đang cảm thấy mệt mỏi, đau nhức cơ thể và sốt cao. Tôi có thể đang bị bệnh gì?",Respiratory,
Bệnh Cúm,"Tôi hay bị sổ mũi, hắt hơi và đau họng, kèm theo sốt và mệt mỏi. Tôi có thể đang bị bệnh gì?",Respiratory,
Bệnh Cúm,"Tôi hiện đang có các triệu chứng như viêm họng, ho khan và ớn lạnh. Tôi có thể đang bị bệnh gì?",Respiratory,
Bệnh Cúm,"Tôi đang cảm thấy mệt mỏi, chán ăn và sốt nhẹ. Tôi có thể đang bị bệnh gì?",Respiratory,
Bệnh Cúm,"Tôi hay bị tiêu chảy, nôn mửa và sốt cao, đặc biệt là trẻ em. Tôi có thể đang bị bệnh gì?",Respiratory,
Bệnh Cúm,"Tôi hiện đang có các triệu chứng như đau đầu, chóng mặt và sốt cao. Tôi có thể đang bị bệnh gì?",Respiratory,
Bệnh Cúm,"Tôi đang cảm thấy khó thở, đau ngực và ho có đờm. Tôi có thể đang bị bệnh gì?",Respiratory,
Bệnh Cúm,"Tôi hay bị sốt cao, co giật và tiểu ít. Tôi có thể đang bị bệnh gì?",Respiratory,
Bệnh Giang Mai,"Tôi hiện đang có một vết loét nhỏ, tròn, không đau ở bộ phận sinh dục. Tôi có thể đang bị bệnh gì?",Dermatology,
Bệnh Giang Mai,"Tôi đang cảm thấy đau họng và có phát ban trên da, đặc biệt là lòng bàn tay và lòng bàn chân. Tôi có thể đang bị bệnh gì?",Dermatology,
Bệnh Giang Mai,"Tôi hay bị đau đầu, sưng hạch bạch huyết và mệt mỏi. Tôi có thể đang bị bệnh gì?",Dermatology,
Bệnh Giang Mai,Tôi đang cảm thấy sốt nhẹ và rụng tóc. Tôi có thể đang bị bệnh gì?,Dermatology,
Bệnh Giang Mai,Tôi hay bị đau nhức khớp và giảm cân không rõ nguyên nhân. Tôi có thể đang bị bệnh gì?,Dermatology,
Bệnh Giang Mai,Tôi đang cảm thấy suy giảm thị lực và đau mắt. Tôi có thể đang bị bệnh gì?,Dermatology,
Bệnh Giang Mai,Tôi hay bị đau đầu dữ dội và cứng cổ. Tôi có thể đang bị bệnh gì?,Dermatology,
Bệnh Giang Mai,Tôi đang cảm thấy yếu ớt và khó khăn khi đi lại. Tôi có thể đang bị bệnh gì?,Dermatology,
Bệnh Giang Mai,Tôi hay bị co giật và mất ý thức. Tôi có thể đang bị bệnh gì?,Dermatology,
Bệnh Giang Mai,Tôi đang cảm thấy thay đổi tâm trạng và dễ cáu gắt. Tôi có thể đang bị bệnh gì?,Dermatology,
Bệnh Giang Mai,Tôi hay bị loét da và tổn thương xương. Tôi có thể đang bị bệnh gì?,Dermatology,
Bệnh Giang Mai,Tôi đang cảm thấy đau ngực và khó thở. Tôi có thể đang bị bệnh gì?,Dermatology,
Bệnh Giang Mai,Tôi hay bị rối loạn tiêu hóa và đau bụng. Tôi có thể đang bị bệnh gì?,Dermatology,
Bệnh Giang Mai,Tôi đang cảm thấy suy giảm thính lực và ù tai. Tôi có thể đang bị bệnh gì?,Dermatology,
Bệnh Giang Mai,Tôi hay bị liệt một phần cơ thể. Tôi có thể đang bị bệnh gì?,Dermatology,
Bệnh Giang Mai,Tôi đang cảm thấy rối loạn giấc ngủ và gặp ác mộng. Tôi có thể đang bị bệnh gì?,Dermatology,
Bệnh Giang Mai,Tôi hay bị lo lắng và sợ hãi về tình trạng sức khỏe. Tôi có thể đang bị bệnh gì?,Dermatology,
Bệnh Giang Mai,Tôi đang cảm thấy tự ti và xấu hổ về bệnh tật. Tôi có thể đang bị bệnh gì?,Dermatology,
Bệnh Giang Mai,Tôi hay bị trầm cảm và có ý định tự tử. Tôi có thể đang bị bệnh gì?,Dermatology,
Bệnh Giang Mai,"Tôi đang cảm thấy mệt mỏi và kiệt sức, không còn sức lực để chống chọi với bệnh tật. Tôi có thể đang bị bệnh gì?",Dermatology,
Bệnh Giun Lươn,"Tôi hiện đang có các triệu chứng như ngứa, nổi mề đay ngoằn ngoèo ở chân, thay đổi vị trí liên tục. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Lươn,"Tôi đang cảm thấy buồn nôn, nôn, đầy hơi, táo bón kéo dài. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Lươn,"Tôi hay bị khò khè, hắt hơi, ho, khó thở, thậm chí ho ra máu. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Lươn,"Tôi đang có các triệu chứng như sốt kéo dài, kèm theo tiêu chảy và đau bụng. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Lươn,"Tôi bị biếng ăn, chậm lớn, suy dinh dưỡng. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Lươn,"Tôi đang gặp tình trạng viêm màng não, kèm theo sốt cao và co giật. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Lươn,"Tôi thấy xuất hiện nốt xuất huyết ở chân, ngứa ngáy khó chịu. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Lươn,"Tôi hay bị tiêu chảy mạn tính, kèm theo đau bụng và đầy hơi. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Lươn,"Tôi đang có các triệu chứng như khó thở, thở nhanh, đau ngực kiểu màng phổi. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Lươn,"Tôi bị suy giảm miễn dịch, kèm theo sốt kéo dài và nhiễm trùng máu. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Lươn,"Tôi đang gặp tình trạng phù phổi, khó thở, ho khan. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Lươn,"Tôi thấy xuất hiện nốt sần ngứa ở tay, di chuyển vị trí liên tục. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Lươn,"Tôi hay bị đau bụng, buồn nôn, nôn, kèm theo táo bón. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Lươn,"Tôi đang có các triệu chứng như ho khan, khò khè, khó thở về đêm. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Lươn,"Tôi bị sụt cân, mệt mỏi, chán ăn. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Lươn,"Tôi đang gặp tình trạng viêm phổi, kèm theo sốt cao và ho có đờm. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Lươn,"Tôi thấy xuất hiện nốt đỏ ngứa ở bụng, di chuyển vị trí liên tục. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Lươn,"Tôi hay bị tiêu chảy, phân sống, kèm theo đau bụng âm ỉ. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Lươn,"Tôi đang có các triệu chứng như khó thở, thở rít, tím tái. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Lươn,"Tôi bị suy nhược cơ thể, kèm theo sốt kéo dài và sụt cân. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Rồng,"Tôi hiện đang có các triệu chứng như xuất hiện vết phồng rộp ở da chân, ngứa dữ dội và đau rát. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Rồng,"Tôi đang cảm thấy tê cứng và ngứa ở vùng da chân, kèm theo sốt nhẹ và tiêu chảy. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Rồng,"Tôi hay bị nổi mề đay, ban đỏ, kèm theo khó thở và chóng mặt. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Rồng,"Tôi đang có một vết sưng tấy ở da chân, tiết ra dịch màu vàng và thấy giun chui ra. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Rồng,"Tôi bị đau nhức khớp, kèm theo vết phồng rộp ở da chân. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Rồng,"Tôi đang gặp tình trạng viêm da nghiêm trọng ở chân, kèm theo sốt và mớn mửa. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Rồng,"Tôi thấy xuất hiện vết phồng rộp ở da tay, ngứa ngáy khó chịu. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Rồng,"Tôi hay bị nổi mề đay, ban đỏ ở vùng bụng, kèm theo tiêu chảy. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Rồng,"Tôi đang có một vết sưng tấy ở da đùi, tiết ra dịch màu vàng và thấy giun chui ra. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Rồng,"Tôi bị đau nhức khớp gối, kèm theo vết phồng rộp ở da chân. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Rồng,"Tôi đang gặp tình trạng sưng tấy ở da bàn chân, kèm theo sốt và ớn lạnh. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Rồng,"Tôi thấy xuất hiện vết phồng rộp ở da cánh tay, ngứa ngáy và đau rát. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Rồng,"Tôi hay bị nổi mề đay, ban đỏ ở vùng lưng, kèm theo khó thở. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Rồng,"Tôi đang có một vết sưng tấy ở da bụng, tiết ra dịch màu vàng và thấy giun chui ra. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Rồng,"Tôi bị đau nhức khớp háng, kèm theo vết phồng rộp ở da chân. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Rồng,Tôi đang gặp tình trạng xơ cứng khớp và co rút dây chằng. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Giun Rồng,"Tôi thấy xuất hiện vết phồng rộp ở da mông, ngứa ngáy khó chịu. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Rồng,"Tôi hay bị nổi mề đay, ban đỏ ở vùng cổ, kèm theo chóng mặt. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Rồng,"Tôi đang có một vết sưng tấy ở da lưng, tiết ra dịch màu vàng và thấy giun chui ra. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Rồng,"Tôi bị đau nhức khớp vai, kèm theo vết phồng rộp ở da chân. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Đũa,"Tôi hay bị ho dai dẳng, khó thở và thở khò khè. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Đũa,"Tôi đang cảm thấy mệt mỏi, giảm cân và đau bụng. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Đũa,"Tôi hay bị buồn nôn, tiêu chảy và đau dạ dày. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Đũa,Tôi đang cảm thấy ngứa hậu môn và thấy giun trong phân. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Giun Đũa,Tôi hay bị chán ăn và suy dinh dưỡng. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Giun Đũa,Tôi đang cảm thấy đau bụng dữ dội và có thể bị tắc ruột. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Giun Đũa,Tôi hay bị sốt nhẹ và ớn lạnh. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Giun Đũa,Tôi đang cảm thấy khó chịu và đầy bụng sau khi ăn. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Giun Đũa,Tôi hay bị thiếu máu và da xanh xao. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Giun Đũa,Tôi đang cảm thấy yếu ớt và khó tập trung. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Giun Đũa,Tôi hay bị đau cơ và khớp. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Giun Đũa,Tôi đang cảm thấy khó tiêu và táo bón. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Giun Đũa,Tôi hay bị nổi mẩn ngứa trên da. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Giun Đũa,Tôi đang cảm thấy buồn nôn và nôn mửa. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Giun Đũa,Tôi hay bị đau đầu và chóng mặt. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Giun Đũa,Tôi đang cảm thấy khó thở và tức ngực. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Giun Đũa,Tôi hay bị sưng hạch bạch huyết. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Giun Đũa,Tôi đang cảm thấy lo lắng và sợ hãi. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Giun Đũa,Tôi hay bị rối loạn giấc ngủ. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Giun Đũa,Tôi đang cảm thấy mệt mỏi và kiệt sức. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Giun Đầu Gai,"Tôi hay bị sốt, mệt mỏi và chán ăn. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Đầu Gai,"Tôi đang cảm thấy buồn nôn, nôn và đau bụng. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Đầu Gai,Tôi hay bị tiêu chảy và sưng tấy dưới da. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Giun Đầu Gai,Tôi đang cảm thấy đau nhức cơ bắp và khớp. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Giun Đầu Gai,Tôi hay bị suy giảm thị lực và đau mắt. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Giun Đầu Gai,"Tôi đang cảm thấy đau đầu, giảm ý thức và hôn mê. Tôi có thể đang bị bệnh gì?",Gastroenterology,
Bệnh Giun Đầu Gai,Tôi hay bị tê liệt cơ và đau dây thần kinh. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Giun Đầu Gai,Tôi đang cảm thấy khó thở và ho ra máu. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Giun Đầu Gai,Tôi hay bị đau bụng dữ dội và nôn ra máu. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Giun Đầu Gai,Tôi đang cảm thấy suy nhược cơ thể và giảm cân nhanh chóng. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Giun Đầu Gai,Tôi hay bị sốt cao và rét run. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Giun Đầu Gai,Tôi đang cảm thấy ngứa ngáy và nổi mẩn đỏ trên da. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Giun Đầu Gai,Tôi hay bị sưng hạch bạch huyết và đau nhức. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Giun Đầu Gai,Tôi đang cảm thấy khó chịu và đầy bụng. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Giun Đầu Gai,Tôi hay bị buồn nôn và nôn mửa. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Giun Đầu Gai,Tôi đang cảm thấy đau đầu và chóng mặt. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Giun Đầu Gai,Tôi hay bị rối loạn giấc ngủ và gặp ác mộng. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Giun Đầu Gai,Tôi đang cảm thấy lo lắng và sợ hãi. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Giun Đầu Gai,Tôi hay bị suy giảm trí nhớ và khó tập trung. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Giun Đầu Gai,Tôi đang cảm thấy mệt mỏi và kiệt sức. Tôi có thể đang bị bệnh gì?,Gastroenterology,
Bệnh Ho,"Tôi hiện đang có các triệu chứng như ho khan, khô cổ họng, đau rát họng. Tôi có thể đang bị bệnh gì?",Respiratory,
Bệnh Ho,"Tôi đang cảm thấy ngứa cổ họng, ho có đờm, kèm theo nghẹt mũi và chảy nước mũi. Tôi có thể đang bị bệnh gì?",Respiratory,
Bệnh Ho,"Tôi hay bị ho, kèm theo sốt, chảy nước mắt và mệt mỏi. Tôi có thể đang bị bệnh gì?",Respiratory,
Bệnh Ho,"Tôi đang có các triệu chứng như ho, tức ngực, khó thở, khó nuốt. Tôi có thể đang bị bệnh gì?",Respiratory,
Bệnh Ho,"Tôi bị ho, kèm theo ợ hơi, ợ chua và hay bị sặc khi ăn. Tôi có thể đang bị bệnh gì?",Respiratory,
Bệnh Ho,"Tôi đang gặp tình trạng ho khan kéo dài, kèm theo đau đầu và mất ngủ. Tôi có thể đang bị bệnh gì?",Respiratory,
Bệnh Ho,"Tôi thấy ho có đờm màu xanh hoặc vàng, kèm theo sốt và đau họng. Tôi có thể đang bị bệnh gì?",Respiratory,
Bệnh Ho,"Tôi hay bị ho về đêm, kèm theo ngứa cổ họng và khô miệng. Tôi có thể đang bị bệnh gì?",Respiratory,
Bệnh Ho,"Tôi đang có các triệu chứng như ho, kèm theo sổ mũi, hắt hơi và ngứa mắt. Tôi có thể đang bị bệnh gì?",Respiratory,
Bệnh Ho,"Tôi bị ho, kèm theo thở khò khè và khó thở khi gắng sức. Tôi có thể đang bị bệnh gì?",Respiratory,
Bệnh Ho,"Tôi đang gặp tình trạng ho ra máu, kèm theo đau ngực và khó thở. Tôi có thể đang bị bệnh gì?",Respiratory,
